'class name','parameter name','valid types','value list name',description
set,invest_max_total,,,"[MW or MWh] Maximum investment to the aggregated capacity of set member flows (unit__to_node, node__to_unit, link) and storage capacity. Applies in all periods. Constant."
set,invest_min_period,,,"[MW or MWh] Minimum investment per period to the aggregated capacity of set member flows (unit__to_node, node__to_unit, link) and storage capacity. Map of periods."
set,invest_min_total,,,"[MW or MWh] Minimum investment to the aggregated capacity of set member flows (unit__to_node, node__to_unit, link) and storage capacity. Applies in all periods. Constant."
set,network_type,,network_type,What is the network type for the nodes connected to the set.
set,non_synchronous_limit,,,"[share, e.g. 0.8 means 80%] The maximum share of non-synchronous generation in the set of nodes. Constant or period."
set,nox_max_cumulative,,,[ton of NOx] Cumulative limit for NOx emissions from the member flows. Constant or a map of periods.
set,nox_max_period,,,[ton of NOx] NOx limit for each period separately from the member flows. Map of periods.
set,nox_price,,,[CUR/ton] NOx price for a set of member flows. Constant or map of periods.
set,so2_max_cumulative,,,[ton of SO2] Cumulative limit for SO2 emissions from the member flows. Constant or a map of periods.
set,so2_max_period,,,[ton of SO2] SO2 limit for each period separately from the member flows. Map of periods.
set,so2_price,,,[CUR/ton] SO2 price for a set of member flows. Constant or a map of periods.
set,stochastic_forecast_interpolation_factors,,,"[ratio] between 0-1. How much each consequent timestep, starting from the first timestep of the solve, takes from the realization time series (the rest comes from the forecast time series)."
set,stochastic_forecast_weights,,,[ratio between 0-1] Probability weight of each forecast. Name of forecast combined with its weight.
set,stochastic_method,,stochastic_method,"How to use forecast data. 'interpolate_time_series_forecasts' takes a set of forecast time series (usually high, central and low) and interpolates them towards the realization closer to first solve timestep. 'analysis_time_forecasts' has separate forecasts (1 or more) for each analysis timestep with the assumption the model rolls forward from analysis time to the next."
set,time_resolution,,,"Which time resolution the set will propagate to the set members (node, node__unit, link) overriding time_resolution from the solve_pattern."
set__reserve,reserve_requirement,,,[MW] A shared reserve requirement for the set of nodes. Reserve can be provided into any of the nodes. Constant or time series.
solve_pattern,duration,,,"Duration of the model. In case no duration has been provided, the model will extend to the end of the last period."
solve_pattern,includes_solve_pattern,,,Points to an inner solve_pattern. Used to create nested model structures.
solve_pattern,period,,,A single period or an array of periods or a map of period arrays (for rolling and possibly myopic invesments).
solve_pattern,rolling_horizon,,,Duration of the model horizon for rolling window models.
solve_pattern,rolling_jump,,,Duration of the model jump between two solves in rolling window models.
solve_pattern,solve_mode,single_solve,solve_mode,Rolling or single solve model.
solve_pattern,start_time,,,"Start time for the model. If no start time has been provided, the model will start from the beginning of the first period."
solve_pattern,stochastic_forecasts_in_use,,,"Experimental. [forecast_names] Which forecast branches will be included in the model. If no value, then all are included (if stochastic_scope allows). Array of strings."
solve_pattern,stochastic_scope,none,stochastic_scope,Which parameters will use the forecast versions if available.
solve_pattern,time_resolution,,,[duration] Time resolution of the model (unless re-defined by a time resolution of a set).
solve_pattern,time_resolution_scope,whole_model,time_resolution_scope,At what level time resolution in the model is defined.
system,discount_rate,,,[ratio] e.g. 0.05 is 5%. Discount rate for the value of future compared to today. Constant or map of periods.
system,timeline,,,Time steps that can be present in a model instance. Needs to be in date_time format. Tries to ensure that all time series data is from matching time steps.
test,downward_slack,,,[MWh] Used for correct answer when downward slack variable is being tested.
test,flow,,,[MWh] Used for correct answer when flow variable is being tested.
test,investment,,,[MW] Used for correct answer when investment variable is being tested.
test,online,,,[MW] Used for correct answer when online variable is being tested.
test,reserve,,,[MW] Used for correct answer when reserve variable is being tested.
test,retirement,,,[MW] Used for correct answer when retirement variable is being tested.
test,state,,,[MWh] Used for correct answer when storage state variable is being tested.
test,target,,,[entity_class__entity] to be tested.
test,upward_slack,,,[MWh] Used for correct answer when upward slack variable is being tested.
unit,availability,,,[p.u.] Fraction of the unit available for operation. Time series (or constant or array of periods).
unit,availability_forecasts,,,"[p.u.] Availability forecasts either through forecast time series (1st dimension forecast name, 2nd dimension time series) or updating forecasts (1st dimension forecast name, 2nd dimension analysis time, 3rd time series)."
unit,constraint_online_coefficient,,,[p.u.] Multiplier between constraints and the online status of the unit. Map of constraints and respective coefficients.
unit,constraint_unit_count_coefficient,,,[p.u.] Multiplier between constraints and the number of the units. Map of constraints and respective coefficients.
unit,conversion_method,,unit_conversion_method,What method to use when converting inputs to outputs.
unit,efficiency,,,[ratio] Multiplier for turning inputs to outputs. Usage depends on the conversion_method.
unit,efficiency_forecasts,,,"[p.u.] Efficiency forecasts either through forecast time series (1st dimension forecast name, 2nd dimension time series) or updating forecasts (1st dimension forecast name, 2nd dimension analysis time, 3rd time series)."
unit,interest_rate,,,[ratio] e.g. 0.05 is 5 %. Interest rate for investing in the unit. Constant or array of periods.
unit,investment_method,,unit_invest_method,How investments are treated.
unit,lifetime,,,[years] Lifetime of the unit for annuity calculation and for retirement decision depending on the unit_retirement_method. Constant.
unit,min_downtime,,,"[minutes] When unit is turned off, how many minutes it must stay turned off. Constant."
unit,min_uptime,,,"[minutes] When unit is turned on, how many minutes it must stay turned on. Constant."
unit,online_cost,,,[CUR/p.u./h] Cost of keeping unit online for one hour. Constant or array of periods.
unit,retirement_method,,unit_retirement_method,How retirements are treated.
unit,shutdown_cost,,,[CUR/p.u.] Cost of one full shutdown. Constant or array of periods.
unit,startup_cost,,,[CUR/p.u.] Cost of one full startup. Constant or array of periods.
unit,startup_method,,unit_startup_method,What method is used for unit startups.
unit,units_existing,,,[Number] of existing units. Constant or array of periods.
unit,units_fix_cumulative,,,"[Number] of units that must exist (considers existing, invested and retired units). Constant or array of periods."
unit,units_invest_fix_period,,,[Number] of units that must be invested in. Array of periods.
unit,units_invest_max_period,,,[Number] of units that can be invested in. Array of periods.
unit,units_invest_min_period,,,[Number] of units that must at least be invested in. Array of periods.
unit,units_max_cumulative,,,"[Number] of units that can exist (considers existing, invested and retired units). Constant or array of periods."
unit,units_min_cumulative,,,"[Number] of units that must at least exist (considers existing, invested and retired units). Constant or array of periods."
unit,units_retire_period,,,[Number] of units that must be retired. Array of periods.
unit__node__reserve,contingency_causing,,boolean,Whether the flow causes a need for a contingency reserve.
unit__node__reserve,max_reserve_provision,,,[p.u.] Maximum share of the flow that can be allocated to reserve provision. Constant.
unit__node__reserve,reservation_cost,,,[CUR/MWh/h] Cost of providing the reservation.
unit__node__reserve,reserve_provision_coefficient,,,[ratio] e.g. 0.8 means that 80% of the provided reserve is contributing to the reserve requirement. Constant.
unit__node__reserve,reserve_requirement_factor,,,[p.u.] The factor is multiplied with the flow to increase the reserve requirement. Constant.
unit__to_node,capacity,,,[MW] Capacity for one unit (is therefore multiplied by number of existing plus invested units). Constant.
unit__to_node,constraint_flow_coefficient,,,[p.u.] Multiplier between constraints and the flow. Map of constraints and respective coefficients.
unit__to_node,conversion_coefficient,,,[p.u.] Multiplier between the flow and the conversion equation of the unit. Not used by coefficients_only conversion_method. Constant.
unit__to_node,fixed_cost,,,[CUR/MW/year] Fixed annual cost for the flow capacity. Constant or array of periods.
unit__to_node,inertia_constant,,,[MWs/MW] Inertia constant for a synchronously connected unit to this node. Constant.
unit__to_node,investment_cost,,,[CUR/MW] Investment cost for the flow capacity. Constant or array of periods.
unit__to_node,is_non_synchronous,false,boolean,Chooses whether the unit is synchronously connected to this node.
unit__to_node,nox_emission_rate,,,[kg of NOx emissions/MWh] NOx emission rate per MWh of flow. Constant.
unit__to_node,other_operational_cost,,,"[CUR/MWh] Variable cost for the flow. Constant, array of periods or time series."
unit__to_node,other_operational_cost_forecasts,,,"[CUR/MWh] Variable operational cost forecasts either through forecast time series (1st dimension forecast name, 2nd dimension time series) or updating forecasts (1st dimension forecast name, 2nd dimension analysis time, 3rd time series)."
unit__to_node,profile_fix,,,"[p.u.] Fix the flow. Time series, constant or array of periods."
unit__to_node,profile_limit_lower,,,"[p.u.] Minimum flow limit. Time series, constant or array of periods."
unit__to_node,profile_limit_lower_forecasts,,,"[p.u.] Minimum flow limit forecasts either through forecast time series (1st dimension forecast name, 2nd dimension time series) or updating forecasts (1st dimension forecast name, 2nd dimension analysis time, 3rd time series)."
unit__to_node,profile_limit_upper,,,"[p.u.] Maximum flow limit. Time series, constant or array of periods."
unit__to_node,profile_limit_upper_forecasts,,,"[p.u.] Maximum flow limit forecasts either through forecast time series (1st dimension forecast name, 2nd dimension time series) or updating forecasts (1st dimension forecast name, 2nd dimension analysis time, 3rd time series)."
unit__to_node,profile_method,no_profile,profile_method,How to limit the flow based on profiles.
unit__to_node,ramp_cost,,,[CUR/MW] Cost of ramping up. Constant or array of periods.
unit__to_node,ramp_limit_down,,,[p.u./minute] Maximum ramp down speed. Constant.
unit__to_node,ramp_limit_up,,,[p.u./minute] Maximum ramp up speed. Constant.
unit__to_node,ramp_method,no_constraint,ramp_method,How ramps are constrained and/or valued.
unit__to_node,salvage_value,,,[CUR/MW] Salvage value at the end of lifetime (constant) or after reaching a particular age (map of periods with age and salvage value).
unit__to_node,so2_emission_rate,,,[kg of SO2 emissions/MWh] SO2 emission rate per MWh of flow. Constant.
unit_flow__unit_flow,equality_constant,,,[MW] Constant C in [flow_1 = A x flow_2 + C] for equality constraints
unit_flow__unit_flow,equality_ratio,,,[ratio] Ratio A in [flow_1 = A x flow_2 + C] for equality constraints
unit_flow__unit_flow,greater_than_constant,,,[MW] Constant C in [flow_1 = A x flow_2 + C] for greater than constraints
unit_flow__unit_flow,greater_than_ratio,,,[ratio] Ratio A in [flow_1 = A x flow_2 + C] for greater than constraints
unit_flow__unit_flow,less_than_constant,,,[MW] Constant C in [flow_1 = A x flow_2 + C] for less than constraints
unit_flow__unit_flow,less_than_ratio,,,[ratio] Ratio A in [flow_1 = A x flow_2 + C] for less than constraints
